Dst Port,Protocol,Flow Duration,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Mean,Bwd Pkt Len Std,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Fwd PSH Flags,Fwd Pkts/s,Pkt Len Min,Pkt Len Mean,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Pkt Size Avg,Bwd Seg Size Avg,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Seg Size Min,Label
80,6,5010905,268.5,429.0,107.25,214.5,5010763.0,1670254.3333333333,2888129.7651553564,5005178.0,0,0.7982589971272654,0.0,107.33333333333331,1,2,0,2,7,0,0,120.75,107.25,32120,505,32,DoS attacks-GoldenEye
80,6,5007245,180.0,424.0,106.0,212.0,5007151.0,1669050.3333333333,2886294.4653992485,5001856.0,0,0.7988424772504641,0.0,87.11111111111111,1,2,0,2,7,0,0,98.0,106.0,32120,507,32,DoS attacks-GoldenEye
80,6,5011438,187.5,424.0,106.0,212.0,5011320.0,1670440.0,2887960.161617885,5005168.0,0,0.7981740969358495,0.0,88.77777777777777,1,2,0,2,7,0,0,99.875,106.0,32120,507,32,DoS attacks-GoldenEye
80,6,5004480,221.5,429.0,107.25,214.5,5004370.0,1668123.3333333333,2886287.894880954,5000921.0,0,0.7992838416778566,0.0,96.88888888888889,1,2,0,2,7,0,0,109.0,107.25,32120,506,32,DoS attacks-GoldenEye
80,6,5014752,236.00000000000003,424.0,106.0,212.0,5014662.0,1671554.0,2887002.081173479,5005174.0,0,0.7976466234023138,0.0,99.55555555555556,1,2,0,2,7,0,0,112.0,106.0,32120,506,32,DoS attacks-GoldenEye
80,6,5022444,197.5,424.0,106.0,212.0,5022075.0,1674025.0,2883795.0549546685,5003940.0,0,0.7964250074266632,0.0,91.0,1,2,0,2,7,0,0,102.375,106.0,32120,506,32,DoS attacks-GoldenEye
80,6,5017503,230.00000000000003,429.0,107.25,214.5,5017324.0,1672441.3333333333,2883257.022151569,5001729.0,0,0.7972092891623583,0.0,98.77777777777776,1,2,0,2,7,0,0,111.125,107.25,32120,506,32,DoS attacks-GoldenEye
80,6,5009733,180.0,424.0,106.0,212.0,5009639.0,1669879.6666666667,2888401.935354969,5005118.0,0,0.7984457455117868,0.0,87.11111111111111,1,2,0,2,7,0,0,98.0,106.0,32120,507,32,DoS attacks-GoldenEye
80,6,5009358,187.0,429.0,107.25,214.5,5009261.0,1669753.6666666667,2887905.8148565604,5004419.0,0,0.7985055170742439,0.0,89.22222222222223,1,2,0,2,7,0,0,100.375,107.25,32120,507,32,DoS attacks-GoldenEye
80,6,5014753,210.5,424.0,106.0,212.0,5014656.0,1671552.0,2885465.992627188,5003396.0,0,0.7976464643423116,0.0,93.88888888888889,1,2,0,2,7,0,0,105.625,106.0,32120,506,32,DoS attacks-GoldenEye
80,6,5059850,175.5,424.0,106.0,212.0,5059761.0,1686587.0,2874172.054301029,5005247.0,0,0.7905372688913703,0.0,86.11111111111111,1,2,0,2,7,0,0,96.875,106.0,32120,507,32,DoS attacks-GoldenEye
80,6,6063719,146.5,424.0,106.0,212.0,6063636.0,2021212.0,2637928.678443752,5005346.0,0,0.6596611749324136,0.0,79.66666666666667,1,2,0,2,7,0,0,89.625,106.0,32120,507,32,DoS attacks-GoldenEye
80,6,6064075,184.5,424.0,106.0,212.0,6063952.0,2021317.3333333333,2637734.467267381,5005171.0,0,0.6596224486009821,0.0,88.11111111111111,1,2,0,2,7,0,0,99.125,106.0,32120,507,32,DoS attacks-GoldenEye
80,6,7066976,190.0,429.0,107.25,214.5,7066886.0,2355628.666666667,2512885.405349065,5002300.0,0,0.5660129594327191,0.0,89.8888888888889,1,2,0,2,7,0,0,101.125,107.25,32120,507,32,DoS attacks-GoldenEye
80,6,7068369,185.5,424.0,106.0,212.0,7068248.0,2356082.666666667,2513272.1538266274,5002893.0,0,0.5659014123343024,0.0,88.33333333333334,1,2,0,2,7,0,0,99.375,106.0,32120,507,32,DoS attacks-GoldenEye
80,6,7063044,148.0,429.0,107.25,214.5,7062789.0,2354263.0,2511631.878597459,5000805.0,0,0.5663280591201187,0.0,80.55555555555557,1,2,0,2,7,0,0,90.625,107.25,32120,507,32,DoS attacks-GoldenEye
80,6,7063022,184.5,424.0,106.0,212.0,7062850.0,2354283.333333333,2514923.418825777,5004015.0,0,0.5663298231267013,0.0,88.11111111111111,1,2,0,2,7,0,0,99.125,106.0,32120,507,32,DoS attacks-GoldenEye
80,6,498286,248.66604110734545,0.0,0.0,0.0,208044.0,208044.0,0.0,208044.0,0,10.03439791605624,0.0,113.5,1,2,0,2,6,0,0,129.71428571428572,0.0,32120,506,32,DoS attacks-GoldenEye
80,6,1522594,259.83109898547553,0.0,0.0,0.0,6555.0,6555.0,0.0,6555.0,0,3.2838695016531,0.0,72.625,1,3,0,1,5,0,0,83.0,0.0,32120,505,32,DoS attacks-GoldenEye
80,6,2545711,347.5357055996789,0.0,0.0,0.0,208485.0,208485.0,0.0,208485.0,0,2.356905398923916,0.0,149.55555555555554,1,3,0,2,6,0,0,168.25,0.0,32120,504,32,DoS attacks-GoldenEye
80,6,2547564,168.20348008969884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1402547688693985,0.0,162.5,1,2,0,5,8,0,0,180.5555555555556,0.0,32120,65160,32,DoS attacks-GoldenEye
80,6,2549368,253.5,0.0,0.0,0.0,1595.0,1595.0,0.0,1595.0,0,1.56901632090777,0.0,72.42857142857143,1,2,0,1,5,0,0,84.5,0.0,32120,506,32,DoS attacks-GoldenEye
80,6,2550860,137.5,0.0,0.0,0.0,1125.0,1125.0,0.0,1125.0,0,1.5680986020400962,0.0,39.285714285714285,1,2,0,1,5,0,0,45.833333333333336,0.0,32120,507,32,DoS attacks-GoldenEye
80,6,2552212,221.5,0.0,0.0,0.0,1171.0,1171.0,0.0,1171.0,0,1.567267922884149,0.0,63.28571428571428,1,2,0,1,5,0,0,73.83333333333333,0.0,32120,506,32,DoS attacks-GoldenEye
80,6,3570635,235.68156482847783,0.0,0.0,0.0,1788.0,1788.0,0.0,1788.0,0,1.4003111491373383,0.0,65.875,1,3,0,1,5,0,0,75.28571428571429,0.0,32120,505,32,DoS attacks-GoldenEye
80,6,3571888,308.0,0.0,0.0,0.0,3289855.0,3289855.0,0.0,3289855.0,0,2.519675868896225,0.0,308.0,1,2,0,6,10,0,0,336.0,0.0,32120,505,32,DoS attacks-GoldenEye
80,6,3572748,147.5,0.0,0.0,0.0,418.0,418.0,0.0,418.0,0,1.11958638000777,0.0,42.14285714285714,1,2,0,1,5,0,0,49.16666666666666,0.0,32120,507,32,DoS attacks-GoldenEye
80,6,3576088,217.5,0.0,0.0,0.0,2836.0,2836.0,0.0,2836.0,0,1.1185407070519515,0.0,62.14285714285714,1,2,0,1,5,0,0,72.5,0.0,32120,506,32,DoS attacks-GoldenEye
80,6,4592046,177.5437974134833,0.0,0.0,0.0,856.0,856.0,0.0,856.0,0,1.088839266854034,0.0,49.62500000000001,1,3,0,1,5,0,0,56.71428571428572,0.0,32120,506,32,DoS attacks-GoldenEye
80,6,4598483,226.5,0.0,0.0,0.0,3292172.0,3292172.0,0.0,3292172.0,0,1.9571671788283225,0.0,226.5,1,2,0,6,10,0,0,247.0909090909091,0.0,32120,506,32,DoS attacks-GoldenEye
80,6,5620764,168.59952550348413,0.0,0.0,0.0,2511.0,2511.0,0.0,2511.0,0,0.8895587859586348,0.0,47.125,1,3,0,1,5,0,0,53.85714285714285,0.0,32120,507,32,DoS attacks-GoldenEye
80,6,6647275,183.3212117204844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5043758532631797,0.0,177.5,1,3,0,6,9,0,0,193.63636363636363,0.0,32120,65160,32,DoS attacks-GoldenEye
80,6,7679857,158.53411830475693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.302107578305169,0.0,153.5,1,3,0,6,9,0,0,167.45454545454547,0.0,32120,65160,32,DoS attacks-GoldenEye
80,6,7680944,150.2272722688305,0.0,0.0,0.0,6758960.0,6758960.0,0.0,6758960.0,0,1.3019233052603951,0.0,167.46153846153845,1,2,0,7,11,0,0,181.41666666666663,0.0,32120,507,32,DoS attacks-GoldenEye
80,6,7683659,275.5,0.0,0.0,0.0,2538.0,2538.0,0.0,2538.0,0,0.520585309681234,0.0,78.71428571428572,1,2,0,1,5,0,0,91.83333333333331,0.0,32120,505,32,DoS attacks-GoldenEye
80,6,7685348,155.5,0.0,0.0,0.0,1265.0,1265.0,0.0,1265.0,0,0.5204709012526173,0.0,44.42857142857143,1,2,0,1,5,0,0,51.833333333333336,0.0,32120,507,32,DoS attacks-GoldenEye
80,6,7687353,239.5,0.0,0.0,0.0,1699.0,1699.0,0.0,1699.0,0,0.5203351530754474,0.0,68.42857142857143,1,2,0,1,5,0,0,79.83333333333333,0.0,32120,506,32,DoS attacks-GoldenEye
